"ï»¿Customer ID","Subscription Length (Months)","Customer Satisfaction Score (1-10)","Daily Watch Time (Hours)","Engagement Rate (1-10)","Device Used Most Often","Genre Preference",Region,"Payment History (On-Time/Delayed)","Subscription Plan","Churn Status (Yes/No)","Support Queries Logged",Age,"Monthly Income ($)","Promotional Offers Used","Number of Profiles Created",Churn_Flag,AvgWatchPerProfile,Income_bracket,Age_group
C00213,12,10,4.65,7,"Smart TV",Sci-Fi,Africa,Delayed,Standard,No,0,55,8963,5,4,0,1.16,High,Adult
C00214,24,2,1.77,9,Desktop,Thriller,Asia,Delayed,Basic,No,9,67,7468,4,4,0,0.44,High,Senior
C00215,6,7,4.15,2,Laptop,Thriller,Asia,On-Time,Standard,Yes,8,25,6628,5,1,1,4.15,Medium,Young
C00216,24,6,4.28,8,"Smart TV",Comedy,"North America",Delayed,Standard,No,5,58,4426,3,4,0,1.07,Medium,Senior
C00217,1,4,4.63,6,Mobile,Thriller,"North America",Delayed,Premium,Yes,7,36,7842,2,4,1,1.16,High,Adult
C00218,24,2,2.13,4,"Smart TV",Thriller,Asia,On-Time,Basic,No,8,58,857,2,5,0,0.43,Low,Senior
C00219,24,10,3.25,8,Desktop,Action,Europe,On-Time,Standard,No,1,62,7171,3,5,0,0.65,High,Senior
C00220,6,9,1.05,8,"Smart TV",Comedy,"North America",On-Time,Premium,No,1,47,6465,4,2,0,0.53,Medium,Adult
C00221,24,2,4.13,10,Laptop,Comedy,Europe,On-Time,Basic,Yes,8,28,3319,2,5,1,0.83,Medium,Young
C00222,3,8,2.56,2,Desktop,Sci-Fi,Africa,On-Time,Premium,No,6,70,7370,2,2,0,1.28,High,Senior
C00223,1,3,1.71,8,Laptop,Romance,Africa,Delayed,Basic,No,6,34,3437,0,1,0,1.71,Medium,Young
C00224,24,10,4.87,3,Desktop,Romance,"South America",On-Time,Premium,No,1,64,1137,1,2,0,2.44,Low,Senior
C00225,1,5,3.46,9,"Smart TV",Comedy,Africa,On-Time,Premium,Yes,2,37,6476,2,3,1,1.15,Medium,Adult
C00226,24,10,1.46,8,Laptop,Sci-Fi,"North America",Delayed,Premium,No,4,60,2791,4,2,0,0.73,Low,Senior
C00227,6,5,3.49,8,"Smart TV",Drama,Europe,On-Time,Standard,No,3,28,2691,2,4,0,0.87,Low,Young
C00228,12,6,4.81,6,Tablet,Documentary,"South America",On-Time,Basic,Yes,10,21,7870,2,3,1,1.60,High,Young
C00229,3,7,3.23,6,"Smart TV",Thriller,Asia,Delayed,Standard,Yes,10,35,2621,0,3,1,1.08,Low,Young
C00230,12,7,1.67,8,Tablet,Romance,"North America",Delayed,Premium,No,6,51,632,2,1,0,1.67,Low,Adult
C00231,3,10,4.18,2,Desktop,Thriller,Asia,On-Time,Standard,Yes,3,59,6134,2,5,1,0.84,Medium,Senior
C00232,6,8,4.04,4,Desktop,Action,"South America",On-Time,Basic,Yes,6,61,5999,5,2,1,2.02,Medium,Senior
C00233,24,2,4.43,6,Tablet,Action,Europe,Delayed,Basic,No,7,41,7092,2,1,0,4.43,High,Adult
C00234,12,10,0.7,4,Desktop,Thriller,Asia,On-Time,Premium,No,2,30,5791,0,3,0,0.23,Medium,Young
C00235,1,10,0.62,1,"Smart TV",Romance,"South America",Delayed,Premium,No,6,46,9994,3,2,0,0.31,High,Adult
C00236,3,7,2.59,2,Desktop,Action,"North America",Delayed,Standard,Yes,7,57,3655,0,2,1,1.30,Medium,Senior
C00237,1,2,1.62,4,Desktop,Documentary,Asia,Delayed,Basic,Yes,5,47,8462,5,4,1,0.41,High,Adult
C00238,3,4,4.1,7,Mobile,Documentary,Africa,On-Time,Basic,No,0,56,4175,3,1,0,4.10,Medium,Senior
C00239,1,3,4.59,5,Laptop,Comedy,"South America",On-Time,Basic,Yes,4,25,5627,1,4,1,1.15,Medium,Young
C00240,12,9,1.65,5,Desktop,Sci-Fi,Europe,Delayed,Standard,No,7,64,2368,5,3,0,0.55,Low,Senior
C00241,3,1,0.94,8,Laptop,Sci-Fi,Asia,Delayed,Premium,Yes,8,18,7700,2,3,1,0.31,High,Teen
C00242,12,6,2.84,6,Mobile,Sci-Fi,"North America",Delayed,Standard,Yes,1,47,6375,4,5,1,0.57,Medium,Adult
C00243,3,3,1.91,9,Laptop,Comedy,Europe,On-Time,Premium,Yes,10,32,6779,0,3,1,0.64,Medium,Young
C00244,6,5,1.15,5,Mobile,Thriller,Africa,On-Time,Basic,No,0,49,5217,4,3,0,0.38,Medium,Adult
C00245,6,10,4.61,5,Tablet,Drama,Asia,On-Time,Basic,No,10,44,1033,1,5,0,0.92,Low,Adult
C00246,3,10,4.11,2,Mobile,Action,"South America",On-Time,Basic,Yes,6,41,4206,4,2,1,2.06,Medium,Adult
C00247,1,5,1.28,10,Tablet,Drama,Africa,On-Time,Standard,Yes,5,55,9442,4,2,1,0.64,High,Adult
C00248,24,10,4.92,6,"Smart TV",Romance,Europe,Delayed,Standard,Yes,0,28,1177,4,4,1,1.23,Low,Young
C00249,3,3,3.4,4,Desktop,Thriller,Africa,Delayed,Standard,Yes,4,40,9548,5,3,1,1.13,High,Adult
C00250,1,4,1.36,4,Mobile,Action,Africa,Delayed,Standard,Yes,6,44,9301,4,2,1,0.68,High,Adult
C00251,12,1,1.26,1,Desktop,Thriller,Asia,Delayed,Standard,No,10,43,9693,5,4,0,0.32,High,Adult
C00252,12,3,0.51,5,Tablet,Comedy,Europe,Delayed,Standard,Yes,8,62,2036,5,5,1,0.10,Low,Senior
C00253,6,8,2.96,7,Desktop,Drama,"North America",Delayed,Premium,No,9,51,7448,4,2,0,1.48,High,Adult
C00254,6,2,2.67,9,Laptop,Comedy,"South America",On-Time,Standard,No,6,34,6050,1,4,0,0.67,Medium,Young
C00255,6,10,2.78,3,Desktop,Documentary,"South America",On-Time,Basic,Yes,1,29,642,5,2,1,1.39,Low,Young
C00256,3,6,4.58,4,Mobile,Documentary,Europe,Delayed,Standard,Yes,1,63,2034,4,5,1,0.92,Low,Senior
C00257,24,7,4.39,8,Mobile,Comedy,"South America",Delayed,Standard,Yes,7,39,6037,3,3,1,1.46,Medium,Adult
C00258,12,3,1.59,6,"Smart TV",Romance,"South America",Delayed,Standard,No,6,25,6141,1,5,0,0.32,Medium,Young
C00259,12,3,1.24,4,Mobile,Drama,Africa,On-Time,Standard,No,3,38,4050,3,3,0,0.41,Medium,Adult
C00260,24,2,4.72,5,Mobile,Drama,Asia,On-Time,Basic,Yes,10,66,8018,1,5,1,0.94,High,Senior
C00261,1,4,1.28,4,Mobile,Sci-Fi,Europe,Delayed,Basic,Yes,3,43,5973,1,5,1,0.26,Medium,Adult
C00262,3,8,3.52,1,Desktop,Sci-Fi,"North America",On-Time,Premium,Yes,9,62,9055,3,3,1,1.17,High,Senior
C00263,12,3,1.05,3,Mobile,Action,Europe,Delayed,Basic,No,2,60,2094,3,3,0,0.35,Low,Senior
C00264,1,6,4.46,1,"Smart TV",Romance,"North America",On-Time,Basic,Yes,7,24,6014,4,4,1,1.12,Medium,Young
C00265,24,4,4.85,2,Laptop,Action,"North America",Delayed,Standard,Yes,8,53,1835,3,5,1,0.97,Low,Adult
C00266,3,4,2.4,4,"Smart TV",Documentary,Africa,Delayed,Standard,No,3,28,5120,5,3,0,0.80,Medium,Young
C00267,6,1,1.76,8,Mobile,Documentary,Asia,Delayed,Premium,No,5,20,2497,1,2,0,0.88,Low,Young
C00268,24,6,4.82,2,Laptop,Drama,Africa,Delayed,Basic,No,3,51,2649,0,4,0,1.21,Low,Adult
C00269,6,8,3.44,9,Desktop,Sci-Fi,"North America",On-Time,Standard,Yes,4,31,2546,1,1,1,3.44,Low,Young
C00270,1,1,4.54,4,Laptop,Sci-Fi,Europe,On-Time,Basic,No,5,57,1560,2,4,0,1.14,Low,Senior
C00271,1,10,3.24,2,Mobile,Thriller,Africa,Delayed,Standard,No,7,65,2437,0,5,0,0.65,Low,Senior
C00272,24,5,2.27,2,Laptop,Documentary,Europe,Delayed,Basic,Yes,3,43,2759,3,5,1,0.45,Low,Adult
C00273,12,6,1.42,9,Desktop,Comedy,Africa,On-Time,Premium,Yes,3,47,8883,1,1,1,1.42,High,Adult
C00274,6,7,4.57,3,Desktop,Thriller,Africa,Delayed,Basic,Yes,5,42,5359,2,4,1,1.14,Medium,Adult
C00275,24,5,3.8,6,Tablet,Romance,Africa,Delayed,Standard,Yes,5,60,8810,0,2,1,1.90,High,Senior
C00276,24,1,3.9,9,Desktop,Sci-Fi,"South America",Delayed,Premium,Yes,7,57,3969,3,1,1,3.90,Medium,Senior
C00277,3,8,3.25,2,Laptop,Comedy,Europe,On-Time,Basic,Yes,3,20,8158,3,5,1,0.65,High,Young
C00278,1,7,4.17,4,Desktop,Thriller,Africa,Delayed,Premium,Yes,6,26,910,5,1,1,4.17,Low,Young
C00279,1,1,3.39,4,Laptop,Documentary,Asia,Delayed,Premium,Yes,10,26,4699,4,2,1,1.70,Medium,Young
C00280,24,8,4.18,2,Tablet,Sci-Fi,Europe,Delayed,Basic,No,4,68,2460,0,5,0,0.84,Low,Senior
C00281,1,6,2.83,1,Mobile,Romance,Europe,On-Time,Standard,No,4,68,9479,2,2,0,1.42,High,Senior
C00282,3,8,0.84,9,Tablet,Comedy,"South America",Delayed,Basic,Yes,9,68,8505,4,2,1,0.42,High,Senior
C00283,6,1,3.83,6,"Smart TV",Drama,"North America",Delayed,Premium,No,2,23,7386,4,4,0,0.96,High,Young
C00284,6,5,2.29,3,Desktop,Action,"North America",Delayed,Standard,Yes,6,45,9967,3,1,1,2.29,High,Adult
C00285,1,8,1.92,8,"Smart TV",Documentary,"South America",On-Time,Basic,No,2,51,8262,3,5,0,0.38,High,Adult
C00286,24,5,3.93,1,Laptop,Comedy,Africa,Delayed,Basic,No,2,48,8197,2,4,0,0.98,High,Adult
C00287,1,4,3.89,9,"Smart TV",Documentary,"North America",On-Time,Premium,No,10,60,5650,0,3,0,1.30,Medium,Senior
C00288,6,9,2.58,2,Laptop,Comedy,"North America",On-Time,Basic,Yes,8,33,5372,1,3,1,0.86,Medium,Young
C00289,12,1,4.77,9,Laptop,Romance,"North America",On-Time,Basic,Yes,9,34,8657,1,1,1,4.77,High,Young
C00290,12,3,0.52,10,Laptop,Documentary,Africa,Delayed,Standard,Yes,6,28,4473,0,1,1,0.52,Medium,Young
C00291,12,8,0.67,7,"Smart TV",Sci-Fi,Africa,Delayed,Standard,No,3,52,9824,1,4,0,0.17,High,Adult
C00292,24,3,4.17,2,Mobile,Drama,"North America",Delayed,Premium,No,0,31,822,2,2,0,2.09,Low,Young
C00293,1,1,3.53,2,"Smart TV",Drama,Africa,Delayed,Basic,No,2,36,1830,4,2,0,1.77,Low,Adult
C00294,24,2,0.52,10,Desktop,Drama,"North America",Delayed,Premium,No,3,54,8145,0,1,0,0.52,High,Adult
C00295,6,1,3.86,5,Desktop,Romance,Africa,Delayed,Basic,Yes,1,42,8943,3,1,1,3.86,High,Adult
C00296,6,3,4.45,9,Laptop,Comedy,Asia,Delayed,Standard,Yes,4,43,8496,0,4,1,1.11,High,Adult
C00297,6,9,1.06,1,"Smart TV",Thriller,Europe,Delayed,Standard,Yes,10,33,4856,2,2,1,0.53,Medium,Young
C00298,12,3,0.78,1,Mobile,Action,Europe,Delayed,Basic,Yes,5,45,4865,4,1,1,0.78,Medium,Adult
C00299,3,4,3.51,5,Tablet,Sci-Fi,"North America",On-Time,Standard,Yes,9,40,5004,3,5,1,0.70,Medium,Adult
C00300,3,10,3.68,9,Laptop,Thriller,"South America",Delayed,Premium,No,4,53,938,1,2,0,1.84,Low,Adult
C00301,1,10,2.95,2,"Smart TV",Romance,Africa,On-Time,Premium,No,5,34,4755,3,5,0,0.59,Medium,Young
C00302,6,1,2.19,7,Tablet,Action,"North America",On-Time,Premium,No,4,58,3065,2,5,0,0.44,Medium,Senior
C00303,1,8,4.45,9,"Smart TV",Sci-Fi,Africa,Delayed,Premium,Yes,8,36,9667,3,3,1,1.48,High,Adult
C00304,6,8,1.62,4,Laptop,Action,Europe,Delayed,Standard,Yes,9,48,4646,3,1,1,1.62,Medium,Adult
C00305,24,5,2.04,1,Desktop,Action,Africa,On-Time,Standard,No,4,57,2271,0,3,0,0.68,Low,Senior
C00306,12,3,1.75,4,Desktop,Drama,Europe,On-Time,Premium,No,2,42,2612,5,3,0,0.58,Low,Adult
C00307,3,8,3.65,1,Laptop,Documentary,"South America",Delayed,Premium,No,4,44,3666,4,4,0,0.91,Medium,Adult
C00308,6,9,1.2,7,Tablet,Sci-Fi,Asia,On-Time,Premium,No,9,55,5765,2,3,0,0.40,Medium,Adult
C00309,1,8,1.66,4,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,6,29,8223,0,4,1,0.42,High,Young
C00310,6,9,1.45,9,Mobile,Comedy,Asia,On-Time,Premium,No,2,21,1901,2,3,0,0.48,Low,Young
C00311,3,2,4.61,6,Desktop,Drama,Europe,Delayed,Basic,No,0,35,5183,0,5,0,0.92,Medium,Young
C00312,12,5,1.45,6,"Smart TV",Sci-Fi,Europe,On-Time,Standard,Yes,8,44,5627,3,2,1,0.73,Medium,Adult
C00313,3,4,2.84,9,Desktop,Documentary,"South America",Delayed,Basic,No,1,69,3558,4,1,0,2.84,Medium,Senior
C00314,12,5,1.23,3,Desktop,Documentary,Europe,On-Time,Standard,Yes,7,52,8319,4,4,1,0.31,High,Adult
C00315,24,3,3.69,4,Mobile,Action,Asia,On-Time,Standard,No,5,38,1978,5,2,0,1.85,Low,Adult
C00316,24,10,3.11,2,Mobile,Comedy,Asia,Delayed,Basic,No,2,63,6216,3,2,0,1.56,Medium,Senior
C00317,12,7,3.89,10,Mobile,Romance,"North America",On-Time,Standard,No,6,63,2055,5,3,0,1.30,Low,Senior
C00318,24,2,1.08,7,"Smart TV",Thriller,Europe,Delayed,Basic,No,0,57,8653,4,2,0,0.54,High,Senior
C00319,6,1,1.27,1,Mobile,Drama,Europe,On-Time,Basic,Yes,5,33,8586,1,3,1,0.42,High,Young
C00320,24,4,3.31,2,Tablet,Sci-Fi,Europe,On-Time,Standard,No,0,67,9822,4,1,0,3.31,High,Senior
C00321,24,5,1.32,6,Mobile,Documentary,"North America",On-Time,Premium,Yes,9,18,6230,3,3,1,0.44,Medium,Teen
C00322,24,7,0.81,3,Mobile,Documentary,Asia,On-Time,Premium,No,4,43,681,4,1,0,0.81,Low,Adult
C00323,1,2,1.87,2,"Smart TV",Documentary,"North America",On-Time,Premium,No,6,60,8262,1,3,0,0.62,High,Senior
C00324,1,8,2.26,3,Laptop,Documentary,"North America",On-Time,Basic,No,10,65,6127,2,2,0,1.13,Medium,Senior
C00325,6,3,3.6,10,Laptop,Romance,Asia,On-Time,Basic,No,1,68,9803,5,2,0,1.80,High,Senior
C00326,24,5,4.63,9,Tablet,Drama,"North America",Delayed,Standard,Yes,3,51,9812,1,5,1,0.93,High,Adult
C00327,6,2,3.57,3,"Smart TV",Drama,"South America",On-Time,Premium,No,3,44,8418,3,4,0,0.89,High,Adult
C00328,12,3,4.96,2,Laptop,Thriller,"South America",Delayed,Standard,Yes,0,32,2990,2,4,1,1.24,Low,Young
C00329,1,2,3.79,7,Tablet,Romance,"North America",On-Time,Premium,Yes,6,69,3211,3,1,1,3.79,Medium,Senior
C00330,1,9,3.11,5,Mobile,Drama,"North America",Delayed,Premium,No,5,34,3098,2,5,0,0.62,Medium,Young
C00331,1,2,1,8,"Smart TV",Thriller,"South America",On-Time,Standard,No,7,48,2858,3,4,0,0.25,Low,Adult
C00332,12,4,4.38,9,Tablet,Sci-Fi,Europe,On-Time,Standard,Yes,5,56,8002,1,2,1,2.19,High,Senior
C00333,24,10,2.92,7,Desktop,Thriller,"South America",Delayed,Basic,No,10,27,865,4,2,0,1.46,Low,Young
C00334,3,6,4.97,3,Mobile,Romance,Europe,Delayed,Basic,No,8,58,5338,2,1,0,4.97,Medium,Senior
C00335,24,10,3.76,4,Tablet,Documentary,"North America",On-Time,Premium,No,9,24,2906,3,4,0,0.94,Low,Young
C00336,3,2,3.34,5,"Smart TV",Documentary,"South America",Delayed,Premium,Yes,1,24,5186,0,1,1,3.34,Medium,Young
C00337,12,10,0.86,6,Desktop,Documentary,"South America",On-Time,Standard,Yes,0,45,2196,3,4,1,0.22,Low,Adult
C00338,3,9,0.63,6,Laptop,Documentary,Europe,On-Time,Premium,Yes,1,37,6243,0,4,1,0.16,Medium,Adult
C00339,24,9,2.74,4,Laptop,Action,"North America",Delayed,Basic,Yes,4,70,7257,3,2,1,1.37,High,Senior
C00340,12,6,4.66,8,"Smart TV",Action,Africa,On-Time,Premium,No,7,43,8803,5,2,0,2.33,High,Adult
C00341,1,4,2.76,4,Tablet,Action,Asia,Delayed,Premium,No,6,24,6543,4,4,0,0.69,Medium,Young
C00342,3,8,3.12,6,Mobile,Sci-Fi,"North America",On-Time,Premium,Yes,8,46,2580,5,3,1,1.04,Low,Adult
C00343,1,9,3.26,3,Desktop,Comedy,Europe,Delayed,Basic,Yes,3,21,5337,3,5,1,0.65,Medium,Young
C00344,24,1,3.25,4,Mobile,Sci-Fi,Asia,On-Time,Premium,Yes,5,62,4015,1,1,1,3.25,Medium,Senior
C00345,12,8,1.57,9,Mobile,Comedy,Europe,Delayed,Basic,No,10,59,7350,2,1,0,1.57,High,Senior
C00346,1,9,1.77,2,Tablet,Sci-Fi,Europe,On-Time,Standard,Yes,5,61,7650,3,1,1,1.77,High,Senior
C00347,1,8,4.52,8,"Smart TV",Action,Asia,On-Time,Premium,No,10,54,1302,0,1,0,4.52,Low,Adult
C00348,12,10,4.45,3,Laptop,Drama,"North America",On-Time,Basic,No,3,58,3074,5,2,0,2.23,Medium,Senior
C00349,24,4,0.81,2,Tablet,Documentary,"North America",On-Time,Basic,No,8,36,7239,2,3,0,0.27,High,Adult
C00350,3,2,2.18,3,Mobile,Documentary,"North America",On-Time,Basic,No,4,64,3254,0,4,0,0.55,Medium,Senior
C00351,6,4,0.57,9,Mobile,Documentary,"North America",Delayed,Basic,Yes,0,27,4821,5,1,1,0.57,Medium,Young
C00352,12,6,1.69,2,Desktop,Comedy,Asia,On-Time,Standard,Yes,4,49,9586,0,3,1,0.56,High,Adult
C00353,12,10,2.01,4,Mobile,Action,Europe,Delayed,Basic,Yes,8,36,4645,3,1,1,2.01,Medium,Adult
C00354,24,10,0.87,10,Desktop,Comedy,"South America",On-Time,Basic,Yes,7,59,5535,3,4,1,0.22,Medium,Senior
C00355,12,4,3.57,2,Mobile,Romance,Africa,Delayed,Standard,No,7,70,6126,4,4,0,0.89,Medium,Senior
C00356,24,9,4.11,6,Desktop,Drama,Asia,Delayed,Standard,Yes,9,24,8893,3,4,1,1.03,High,Young
C00357,6,6,4.19,7,Tablet,Documentary,"South America",On-Time,Standard,Yes,0,43,953,5,4,1,1.05,Low,Adult
C00358,24,7,3.74,5,Desktop,Thriller,Africa,On-Time,Premium,Yes,1,35,6162,1,5,1,0.75,Medium,Young
C00359,12,6,2.48,8,Tablet,Romance,"South America",On-Time,Standard,Yes,2,21,813,5,1,1,2.48,Low,Young
C00360,6,6,1.11,8,"Smart TV",Sci-Fi,Africa,Delayed,Premium,No,6,19,7611,1,1,0,1.11,High,Teen
C00361,6,10,2.5,2,Tablet,Documentary,Africa,On-Time,Basic,Yes,10,31,8804,1,1,1,2.50,High,Young
C00362,6,1,1.99,10,Laptop,Drama,Europe,Delayed,Premium,Yes,3,45,1468,3,3,1,0.66,Low,Adult
C00363,12,9,4.46,6,"Smart TV",Thriller,"South America",Delayed,Standard,No,6,29,8444,2,3,0,1.49,High,Young
C00364,12,3,1.37,4,Desktop,Comedy,"South America",On-Time,Premium,No,8,47,3065,4,3,0,0.46,Medium,Adult
C00365,12,5,4.88,9,Laptop,Comedy,"North America",Delayed,Premium,Yes,3,24,3569,3,3,1,1.63,Medium,Young
C00366,1,10,4.24,4,Tablet,Action,Africa,On-Time,Premium,Yes,0,26,2409,4,2,1,2.12,Low,Young
C00367,6,6,4.55,9,Desktop,Sci-Fi,"South America",On-Time,Basic,Yes,4,32,4808,0,4,1,1.14,Medium,Young
C00368,1,3,4.85,7,Desktop,Comedy,"North America",Delayed,Standard,Yes,2,55,3565,0,1,1,4.85,Medium,Adult
C00369,12,4,4.11,1,Desktop,Documentary,"North America",On-Time,Basic,Yes,2,55,7437,0,3,1,1.37,High,Adult
C00370,3,2,4.29,9,"Smart TV",Drama,"South America",On-Time,Premium,Yes,8,43,3659,1,4,1,1.07,Medium,Adult
C00371,24,2,3.8,9,"Smart TV",Documentary,"North America",On-Time,Basic,Yes,2,54,6551,5,2,1,1.90,Medium,Adult
C00372,24,3,2.28,7,Laptop,Documentary,Europe,On-Time,Basic,No,4,53,7497,0,1,0,2.28,High,Adult
C00373,1,5,3.49,1,Mobile,Documentary,Europe,Delayed,Basic,No,4,22,7075,2,3,0,1.16,High,Young
C00374,1,4,4.66,1,Mobile,Sci-Fi,Europe,Delayed,Premium,No,1,34,4860,0,4,0,1.17,Medium,Young
C00375,24,1,1.97,5,Laptop,Sci-Fi,Africa,On-Time,Premium,No,6,35,7444,3,2,0,0.99,High,Young
C00376,24,9,1.61,6,Tablet,Sci-Fi,Europe,Delayed,Premium,No,4,42,9543,0,2,0,0.81,High,Adult
C00377,3,4,1.16,8,Laptop,Documentary,Africa,Delayed,Standard,No,8,18,2809,1,3,0,0.39,Low,Teen
C00378,24,5,3.82,6,Tablet,Documentary,Africa,Delayed,Premium,Yes,7,61,704,4,2,1,1.91,Low,Senior
C00379,1,3,3.1,6,Desktop,Sci-Fi,"North America",On-Time,Premium,No,5,31,6388,4,3,0,1.03,Medium,Young
C00380,6,7,4.44,2,Tablet,Romance,Asia,On-Time,Premium,Yes,2,49,897,0,1,1,4.44,Low,Adult
C00381,3,10,1.3,1,Laptop,Action,Europe,On-Time,Basic,No,10,55,2346,5,3,0,0.43,Low,Adult
C00382,12,1,3.55,8,Laptop,Sci-Fi,"South America",Delayed,Standard,No,9,29,3565,1,3,0,1.18,Medium,Young
C00383,12,4,4.81,3,Tablet,Romance,"South America",Delayed,Standard,No,2,42,2222,2,4,0,1.20,Low,Adult
C00384,12,10,2.88,4,Mobile,Sci-Fi,"North America",Delayed,Premium,Yes,4,26,7165,5,4,1,0.72,High,Young
C00385,1,5,0.8,9,Mobile,Documentary,Europe,Delayed,Premium,No,10,54,3109,5,3,0,0.27,Medium,Adult
C00386,1,9,2.94,2,Desktop,Comedy,Africa,On-Time,Standard,Yes,1,63,9162,0,5,1,0.59,High,Senior
C00387,1,1,2.16,6,Laptop,Romance,Europe,On-Time,Premium,No,8,54,5090,1,3,0,0.72,Medium,Adult
C00388,24,3,3.22,3,"Smart TV",Romance,Europe,On-Time,Basic,Yes,2,66,1576,0,2,1,1.61,Low,Senior
C00389,6,2,2.42,1,Mobile,Thriller,Asia,On-Time,Premium,No,8,70,5182,1,3,0,0.81,Medium,Senior
C00390,1,4,2.46,6,Tablet,Thriller,Europe,On-Time,Basic,Yes,5,66,6888,5,2,1,1.23,Medium,Senior
C00391,24,3,4.22,6,"Smart TV",Sci-Fi,"North America",Delayed,Premium,No,1,26,1228,1,2,0,2.11,Low,Young
C00392,24,7,1.59,2,Tablet,Action,Asia,Delayed,Premium,No,10,38,1274,5,3,0,0.53,Low,Adult
C00393,24,2,4.54,4,"Smart TV",Comedy,Asia,On-Time,Standard,No,7,58,3307,0,3,0,1.51,Medium,Senior
C00394,3,6,1.8,6,Desktop,Action,"North America",On-Time,Basic,Yes,5,29,5300,2,1,1,1.80,Medium,Young
C00395,3,5,0.98,7,Tablet,Romance,Africa,Delayed,Standard,Yes,7,30,4086,3,1,1,0.98,Medium,Young
C00396,3,1,2.29,2,"Smart TV",Sci-Fi,Europe,On-Time,Standard,Yes,2,18,5393,0,3,1,0.76,Medium,Teen
C00397,24,5,1.3,6,Desktop,Comedy,Europe,Delayed,Premium,No,1,27,1227,4,3,0,0.43,Low,Young
C00398,6,4,3.46,3,Tablet,Sci-Fi,"North America",On-Time,Premium,No,2,62,1897,0,2,0,1.73,Low,Senior
C00399,12,9,2.47,8,Laptop,Sci-Fi,"South America",Delayed,Premium,Yes,8,52,7879,1,1,1,2.47,High,Adult
C00400,6,4,4.73,4,Mobile,Comedy,"North America",On-Time,Standard,No,8,20,5577,1,1,0,4.73,Medium,Young
C00401,12,9,4.93,3,Tablet,Thriller,"North America",On-Time,Premium,Yes,0,58,7483,5,2,1,2.47,High,Senior
C00402,24,1,4.61,8,Laptop,Sci-Fi,Europe,On-Time,Premium,No,10,60,2565,2,3,0,1.54,Low,Senior
C00403,1,4,1,6,"Smart TV",Action,Asia,Delayed,Basic,No,5,25,6664,3,5,0,0.20,Medium,Young
C00404,3,7,4.56,7,Laptop,Action,Europe,On-Time,Premium,No,0,32,8259,5,5,0,0.91,High,Young
C00405,12,7,3.03,7,Mobile,Action,Asia,On-Time,Standard,No,0,19,9921,3,2,0,1.52,High,Teen
C00406,6,10,3.38,4,"Smart TV",Sci-Fi,"South America",Delayed,Premium,Yes,7,19,4022,0,1,1,3.38,Medium,Teen
C00407,12,3,4.09,3,Laptop,Romance,Europe,On-Time,Basic,No,5,49,2423,4,2,0,2.05,Low,Adult
C00408,24,4,0.61,2,"Smart TV",Drama,Africa,Delayed,Basic,No,1,61,5398,1,5,0,0.12,Medium,Senior
C00409,1,9,1.24,3,"Smart TV",Thriller,Africa,Delayed,Standard,Yes,1,51,8444,1,4,1,0.31,High,Adult
C00410,24,1,2.44,4,Desktop,Sci-Fi,Asia,Delayed,Standard,Yes,0,28,6693,0,5,1,0.49,Medium,Young
C00411,24,2,4.38,7,Laptop,Sci-Fi,"South America",Delayed,Standard,Yes,1,22,5156,4,2,1,2.19,Medium,Young
C00412,12,6,4.09,5,Mobile,Action,Europe,On-Time,Premium,Yes,0,36,4168,3,5,1,0.82,Medium,Adult
C00413,6,4,3.56,8,Mobile,Sci-Fi,Africa,Delayed,Premium,Yes,10,37,2589,1,4,1,0.89,Low,Adult
C00414,1,4,2.05,7,Tablet,Comedy,Europe,Delayed,Premium,Yes,0,48,5983,3,4,1,0.51,Medium,Adult
C00415,3,3,4.5,10,Laptop,Action,Africa,On-Time,Standard,Yes,3,26,5463,3,1,1,4.50,Medium,Young
C00416,12,4,3.94,9,Desktop,Comedy,Europe,Delayed,Standard,Yes,2,70,7337,0,1,1,3.94,High,Senior
C00417,12,1,3.32,1,Tablet,Comedy,"South America",Delayed,Premium,Yes,7,40,3088,0,1,1,3.32,Medium,Adult
C00418,1,2,3.3,8,Laptop,Comedy,"North America",Delayed,Premium,No,3,43,6750,3,5,0,0.66,Medium,Adult
C00419,3,9,0.78,10,Desktop,Romance,Asia,On-Time,Premium,Yes,2,58,6412,5,5,1,0.16,Medium,Senior
C00420,1,3,1.48,1,Laptop,Sci-Fi,Europe,On-Time,Basic,Yes,3,34,4565,0,1,1,1.48,Medium,Young
C00421,3,10,1.3,3,Desktop,Sci-Fi,Europe,On-Time,Premium,No,10,22,6805,4,2,0,0.65,Medium,Young
C00422,12,10,0.52,1,Tablet,Romance,Asia,On-Time,Premium,No,9,70,5145,0,4,0,0.13,Medium,Senior
C00423,12,3,2.04,1,Desktop,Sci-Fi,Europe,Delayed,Standard,No,1,70,3112,4,5,0,0.41,Medium,Senior
C00424,6,7,3.86,9,Mobile,Action,Asia,Delayed,Basic,No,1,31,9659,2,3,0,1.29,High,Young
C00425,1,9,2.32,4,Laptop,Romance,Africa,On-Time,Premium,Yes,10,47,1889,2,2,1,1.16,Low,Adult
C00426,3,6,4.64,4,Desktop,Comedy,Asia,On-Time,Basic,No,10,64,6172,0,3,0,1.55,Medium,Senior
